City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lompoc,US,34.6391,-120.4579,57.2,67,100,13.8,overcast clouds
1,Melfi,IT,40.9965,15.6514,59.0,77,20,6.91,few clouds
2,Avarua,CK,-21.2078,-159.775,78.8,94,20,3.44,light rain
3,Makakilo City,US,21.3469,-158.0858,71.6,68,75,5.75,broken clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,40,11.5,scattered clouds
5,Jamestown,US,42.097,-79.2353,64.99,55,90,9.22,overcast clouds
6,Choix,MX,26.7092,-108.3219,89.6,18,100,3.85,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,51.8,43,75,11.5,broken clouds
8,Aykhal,RU,66.0,111.5,-7.08,83,37,4.79,scattered clouds
9,Ambon,ID,-3.6954,128.1814,80.42,79,79,3.18,broken clouds
10,Albany,US,42.6001,-73.9662,73.4,56,90,8.05,overcast clouds
11,Chuy,UY,-33.6971,-53.4616,64.42,81,95,23.73,overcast clouds
12,Pudozh,RU,61.8099,36.5345,32.13,89,6,5.68,clear sky
13,Saskylakh,RU,71.9167,114.0833,18.03,94,98,7.65,overcast clouds
14,Lorengau,PG,-2.0226,147.2712,80.22,85,97,13.98,light rain
15,Vanimo,PG,-2.6741,141.3028,78.15,87,99,6.91,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,53.6,54,75,13.8,broken clouds
17,Mataura,NZ,-46.1927,168.8643,46.99,97,89,1.99,overcast clouds
18,Vacaria,BR,-28.5122,-50.9339,87.01,10,6,5.99,clear sky
19,Klaksvik,FO,62.2266,-6.589,39.2,70,75,2.3,broken clouds
20,Nikolskoye,RU,59.7035,30.7861,44.6,42,0,2.24,light rain
21,Ribeira Grande,PT,38.5167,-28.7,64.4,88,75,4.61,broken clouds
22,Nanortalik,GL,60.1432,-45.2371,38.7,65,1,3.09,clear sky
23,Rikitea,PF,-23.1203,-134.9692,78.24,75,8,11.14,light rain
24,Vaini,TO,-21.2,-175.2,66.2,94,20,2.3,few clouds
