City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Avarua,CK,78.8,light rain,-21.2078,-159.775,Paradise Inn
4,Puerto Ayora,EC,80.6,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Choix,MX,89.6,overcast clouds,26.7092,-108.3219,Hotel Montesclaros
9,Ambon,ID,80.42,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
14,Lorengau,PG,80.22,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
15,Vanimo,PG,78.15,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
18,Vacaria,BR,87.01,clear sky,-28.5122,-50.9339,Pampa Hotel - Vacaria/RS
23,Rikitea,PF,78.24,light rain,-23.1203,-134.9692,Pension Maro'i
27,Butaritari,KI,80.96,light rain,3.0707,172.7902,Isles Sunset Lodge
32,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
36,Bontang,ID,77.65,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
39,Tambura,SS,78.35,overcast clouds,5.6,27.4667,Rikito Lodge
40,Arraial Do Cabo,BR,87.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
41,Dingle,PH,75.69,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
47,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
48,Pasni,PK,79.48,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
51,Acarau,BR,83.88,broken clouds,-2.8856,-40.12,castelo pizzaria
56,Mahajanga,MG,78.8,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
59,Nouadhibou,MR,78.8,clear sky,20.930999999999997,-17.0347,El Medina
61,Sur,OM,82.71,clear sky,22.5667,59.5289,Sur Plaza Hotel
62,Salalah,OM,82.4,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
63,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
66,Bryan,US,82.0,clear sky,30.6744,-96.37,Best Western Premier Bryan College Station
72,Sao Filipe,CV,76.24,clear sky,14.8961,-24.4956,Tortuga B&B
75,Sechura,PE,80.78,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
76,Kavieng,PG,78.28,moderate rain,-2.5744,150.7967,Nusa Island Retreat
80,Atuona,PF,80.49,scattered clouds,-9.8,-139.0333,Villa Enata
81,Esperanza,DO,84.99,broken clouds,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
82,Praya,CV,82.4,clear sky,14.9215,-23.5087,LT Aparthotel
86,Castro,BR,79.92,clear sky,-24.7911,-50.0119,CHACARA BAILLY
87,Onverwacht,SR,89.6,scattered clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
88,Teonthar,IN,85.69,broken clouds,24.9833,81.65,बिहारी स्वीट्स हाउस एवं रेस्टोरेंट्
